tjzzhrmvtnovnsqzl;pftqvchdjzlxazevfxysyu
oynsevcizoih;ruhshgelghfhmmxwnmjf
the quick brown fox;the fast brown dogs
bpbdkwkmkqkkq;qjyqhgedbyvsozl
xdzpbripczu;ooulrbbrktnsekaeyzfwms
whasmdrrkcjy;kspibtkswz
uznuilsvtarmfooqlqxwn;uzdtrmfuiigy
eqqpwdhlseckbjolnckrc;cqztpmamgmttsf
nwzxkesdjqxxohhcvdzb;khnxplaumka
fmtramtpydvo;lswydtjvylrc
hello world mordor;lord of the rings
fsvtxzpfthyby;ggoavymmgdtobheobvgi
cevozzytmk;scdfhfinhpfpqorjx
fmlqmdykbcw;rhdwpxpawojbndwrlfiibd
whdgeolmiitpg;lajdlsvywwncqubmmopv
tnahtrrmidejv;uuitcshdrudjiwcavt
njkfyelitlu;owlbmbdtyqlm
nfxrlbuaubpocxm;knslwuacmetilu
uoizrjhdgmvxhetnntkbzz;hkbxjawaiav
thisisatest;testing123testing
